report_date,campaign_key,campaign_name,platform,campaign_group,funnel_stage,campaign_key_type,receita,orders,visits,investimento,impressions,clicks,roas,receita_safe_ad,receita_excecao_manual,receita_pmax_sem_anuncio,receita_por_nome_campanha,receita_outro,receita_anuncio_ambiguo,receita_nao_casado,investimento_anuncio,investimento_campanha,pct_receita_assertiva,pct_receita_anuncio_ambiguo,pct_receita_assertiva_alta,pct_investimento_anuncio,motivos_receita,motivos_investimento
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_ofertas_pass,BRV_VA_TABOOLA_DISPLAY_LF_OFERTAS_PASS,Taboola,OFERTAS,Conversão,name,0,0,5,,,,,0,0,0,0,0,0,0,,,,,,,por_nome_campanha,
2026-05-07,id|azul|google ads|23339225668,BRV_VA_GOOGLE_PMAX_LF_OFERTAS-AZUL_PASS,Google Ads,OFERTAS-AZUL,Conversão,id,0,1,130,,,,,0,0,0,0,0,0,0,,,,,,,pmax_sem_anuncio,
2026-05-07,id|azul|google ads|22501211479,VML_VA_GOOGLE_DISPLAY_MF_OFERTAS-AON_PASS,Google Ads,VML_VA_GOOGLE_DISPLAY_MF_OFERTAS-AON_PASS,Consideração,id,0,0,1,,,,,0,0,0,0,0,0,0,,,,,,,safe_ad,
2026-05-07,name|azul|rtb|brv_va_rtb-house_display_lf_data-dupla_pass,BRV_VA_RTB-HOUSE_DISPLAY_LF_DATA-DUPLA_PASS,RTB,DATA-DUPLA,Conversão,name,0,0,6,266.40000000000009,19760,111,0,0,0,0,0,0,0,0,0,266.40000000000009,,,,0,por_nome_campanha,campanha
2026-05-07,id|azul|google ads|23234508223,BRV_VA_GOOGLE_PMAX_LF_ANOITECEU_PASS,Google Ads,ANOITECEU,Conversão,id,0,0,10,,,,,0,0,0,0,0,0,0,,,,,,,pmax_sem_anuncio,
2026-05-07,name|azul|uol|brv_va_uol_display_lf_data-dupla_pass,BRV_VA_UOL_DISPLAY_LF_DATA-DUPLA_PASS,UOL,DATA-DUPLA,Conversão,name,0,0,10,,,,,0,0,0,0,0,0,0,,,,,,,por_nome_campanha,
2026-05-07,id|azul|meta ads|120241755581130726,BRV_VA_META_FEED_LF_DATA-DUPLA_PASS,Meta Ads,DATA-DUPLA,Conversão,id,0,0,3,0,0,,,0,0,0,0,0,0,0,0,0,,,,,anuncio_ambiguo,
2026-05-07,id|azul|google ads|11382534426,BRV_VA_GOOGLE_SEARCH_LF_AON-GENERICA-NBRD_PASS,Google Ads,AON-GENERICA-NBRD,Conversão,id,0,0,89,8583.17,49974,2835,0,0,0,0,0,0,0,0,8583.17,0,,,,100,"pmax_sem_anuncio,safe_ad",anuncio
2026-05-07,name|azul|bing ads|brv_va_bing_display_lf_novas-rotas_pass,BRV_VA_BING_DISPLAY_LF_NOVAS-ROTAS_PASS,Bing Ads,NOVAS-ROTAS,Conversão,name,0,0,23,475.1,147417,923,0,0,0,0,0,0,0,0,0,475.1,,,,0,por_nome_campanha,campanha
2026-05-07,id|azul|google ads|23225004405,BRV_VA_GOOGLE_SEARCH_LF_ANOITECEU_PASS,Google Ads,ANOITECEU,Conversão,id,0,0,3,,,,,0,0,0,0,0,0,0,,,,,,,safe_ad,
2026-05-07,name|azul|taboola|brv_va_taboola_display_lf_data-dupla_pass,BRV_VA_TABOOLA_DISPLAY_LF_DATA-DUPLA_PASS,Taboola,DATA-DUPLA,Conversão,name,0,0,8,,,,,0,0,0,0,0,0,0,,,,,,,por_nome_campanha,
2026-05-07,name|azul|kayak|azulbrandedfsr-mob_fsr_pt_br pt_br flight sponsoredresult,AZULBRANDEDFSR-MOB_FSR_PT_BR PT_BR FLIGHT SPONSOREDRESULT,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,77,13554,14,,,,,,,,,0,77,,,,0,,campanha
2026-05-07,name|azul|vivo|brv_va_vivo_display_lf_parintins_pass,BRV_VA_VIVO_DISPLAY_LF_PARINTINS_PASS,Vivo,PARINTINS,Conversão,name,,,,979.54739211681431,77282,9191,,,,,,,,,0,979.54739211681431,,,,0,,campanha
2026-05-07,name|azul|kayak|azulbrandedfsr-web_fsr_pt_br pt_br flight sponsoredresult,AZULBRANDEDFSR-WEB_FSR_PT_BR PT_BR FLIGHT SPONSOREDRESULT,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,637.5,10883,85,,,,,,,,,0,637.5,,,,0,,campanha
2026-05-07,name|azul|kayak|azulinlinedeskt1 pt_br flight inline,AZULINLINEDESKT1 PT_BR FLIGHT INLINE,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,24.8,18114,8,,,,,,,,,0,24.8,,,,0,,campanha
2026-05-07,name|azul|rtb|vml_va_rtb-house_display_mf_aon_pass,VML_VA_RTB-HOUSE_DISPLAY_MF_AON_PASS,RTB,AON,Consideração,name,,,,1368.826,342239,3189,,,,,,,,,0,1368.826,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_search_lf_aon-us-passenger-brd_pass,BRV_VA_BING_SEARCH_LF_AON-US-PASSENGER-BRD_PASS,Bing Ads,AON-US-PASSENGER-BRD,Conversão,name,,,,487.65,181,36,,,,,,,,,0,487.65,,,,0,,campanha
2026-05-07,name|azul|kayak|azul_fsbo_pt_br pt_br flight sponsoredbookingoption,AZUL_FSBO_PT_BR PT_BR FLIGHT SPONSOREDBOOKINGOPTION,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,1053,1745,81,,,,,,,,,0,1053,,,,0,,campanha
2026-05-07,name|azul|kayak|azul-mob_fsbo_pt_br pt_br flight sponsoredbookingoption,AZUL-MOB_FSBO_PT_BR PT_BR FLIGHT SPONSOREDBOOKINGOPTION,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,885,3919,118,,,,,,,,,0,885,,,,0,,campanha
2026-05-07,name|azul|skyscanner|br | flights | inline | itinerary plus | sam (mobile),BR | FLIGHTS | INLINE | ITINERARY PLUS | SAM (MOBILE),Skyscanner,INLINE,Conversão,name,,,,5696,122560,1424,,,,,,,,,0,5696,,,,0,,campanha
2026-05-07,name|azul|kayak|azulmendo-web pt_br flight inline,AZULMENDO-WEB PT_BR FLIGHT INLINE,Kayak,NÃO IDENTIFICADO,NÃO IDENTIFICADO,name,,,,0,30,0,,,,,,,,,0,0,,,,,,
2026-05-07,id|azul|meta ads|120239771146210726,BRV_VA_META_FEED_LF_NOVAS-ROTAS_PASS,Meta Ads,NOVAS-ROTAS,Conversão,id,,,,937.17,252886,3141,,,,,,,,,937.17,0,,,,100,,anuncio
2026-05-07,name|azul|vivo|brv_va_vivo_adtab_lf_novas-rotas_pass,BRV_VA_VIVO_ADTAB_LF_NOVAS-ROTAS_PASS,Vivo,NOVAS-ROTAS,Conversão,name,,,,1740.1257616959724,139790,14566,,,,,,,,,0,1740.1257616959724,,,,0,,campanha
2026-05-07,name|azul|bing ads|brv_va_bing_dmax_lf_aon-marca_pass,BRV_VA_BING_DMAX_LF_AON-MARCA_PASS,Bing Ads,AON-MARCA,Conversão,name,,,,147.75,7399,100,,,,,,,,,0,147.75,,,,0,,campanha
